Repo,Month,Metric,Average,Median,90th Percentile
Microservices,April,Time to first response,"1 day, 10:53:41","1:24:23","2 days, 15:57:38"
Microservices,April,Time to close,"1 day, 22:54:54","3:29:15","6 days, 3:53:36"
Microservices,May,Time to first response,"1 day, 3:10:47","1:00:44","3 days, 1:31:05"
Microservices,May,Time to close,"1 day, 22:25:42","2:35:40","6 days, 17:11:22"
Frontend,April,Time to first response,"8:10:25","0:31:33","22:07:20"
Frontend,April,Time to close,"11:43:58","2:00:18","1 day, 0:05:35"
Frontend,May,Time to first response,"16:32:54","2:15:27","2 days, 20:03:07"
Frontend,May,Time to close,"1 day, 3:40:49","9:20:48","3 days, 5:28:12"
Enterprise Search,May,Time to first response,"12:07:31","3:19:56","1 day, 0:31:37"
Enterprise Search,May,Time to close,"1 day, 4:14:33","18:57:52","3 days, 11:32:12"
